log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
05-18-2,Linformer,64,8,256,2564.022827,1.170302042,2.018432636,0.286498698,0.120126733,2.685673315,49.89990234
,,,,,,,,,,,
05-18-2,Linformer,128,8,64,643.8451173,1.145332521,1.869413133,0.28028897,0.116167295,2.473994508,51.27441406
,,,,,,,,,,,
05-18-2,Linformer,128,8,128,1284.229283,1.17100934,2.206738125,0.285726585,0.130608765,2.740738891,61.41796875
,,,,,,,,,,,
05-18-2,Linformer,128,8,256,2564.012224,1.142913791,2.044231689,0.27915798,0.116695484,2.602952745,81.81445313
,,,,,,,,,,,
05-18-2,Linformer,256,8,64,643.7610617,1.123384971,1.800022282,0.288555908,0.12424182,2.675311915,85.10253906
,,,,,,,,,,,
05-18-2,Linformer,256,8,128,1284.022748,1.18252625,1.982357996,0.305564904,0.135780012,2.696252162,105.1835938
,,,,,,,,,,,
05-18-2,Linformer,256,8,256,2564.752314,1.301395393,2.615495238,0.355436855,0.133952561,2.897494206,145.5800781
,,,,,,,,,,,
05-18-2,Linformer,512,8,64,645.2817458,1.77534106,2.648969781,0.507993151,0.144936147,2.886335744,152.7587891
,,,,,,,,,,,
05-18-2,Linformer,512,8,128,1285.942433,1.942925167,3.149910385,0.541098182,0.131157285,2.69991531,192.7148438
,,,,,,,,,,,
05-18-2,Linformer,512,8,256,2566.910345,2.420983127,3.646532485,0.641969183,0.153070623,2.637981558,273.1113281
,,,,,,,,,,,
05-18-2,Linformer,1024,8,64,649.7400867,3.666761835,5.224073887,1.005297913,0.142856128,3.026873634,288.0712891
,,,,,,,,,,,
05-18-2,Linformer,1024,8,128,12810.70747,3.996772279,5.861990729,1.063611106,0.167653032,3.442681975,367.7773438
,,,,,,,,,,,
05-18-2,Linformer,1024,8,256,25612.68145,4.784976364,7.040771297,1.21912018,0.198255801,3.930025532,528.1738281
,,,,,,,,,,,
05-18-2,Linformer,2048,8,64,6417.346543,6.863628321,9.616717865,1.827520116,0.190919114,4.165465578,558.6962891
,,,,,,,,,,,
05-18-2,Linformer,2048,8,128,12819.01808,7.439170078,10.7126526,1.939365249,0.232058891,5.158974003,717.9023438
,,,,,,,,,,,
05-18-2,Linformer,2048,8,256,25622.92008,9.175997382,12.87924255,2.291740672,0.185397047,4.796213592,1038.298828
,,,,,,,,,,,
05-18-2,Linformer,4096,8,64,6428.977106,11.85370085,16.28545977,3.102003525,0.324418191,6.887856455,1100.196289
,,,,,,,,,,,
05-18-3,LocalHBA,64,8,64,644.0085666,1.086700178,2.14149104,0.266402448,0.142725781,2.864456022,34.50097656
,,,,,,,,,,,
05-18-3,LocalHBA,64,8,128,1283.571609,1.095667376,1.700477563,0.267420546,0.134098108,2.742971458,39.20654297
,,,,,,,,,,,
05-18-3,LocalHBA,64,8,256,2563.7284,1.099013979,1.855532185,0.270221067,0.133570461,2.879773063,49.60302734
,,,,,,,,,,,
05-18-3,LocalHBA,128,8,64,643.8375497,1.108662793,1.925571411,0.267252489,0.144906914,2.972820206,50.93066406
,,,,,,,,,,,
05-18-3,LocalHBA,128,8,128,1284.203228,1.074146113,2.351806219,0.265842104,0.15313926,2.923199273,61.07421875
,,,,,,,,,,,
05-18-3,LocalHBA,128,8,256,2564.358068,1.085726547,2.496833792,0.264715907,0.135561728,2.742924135,81.47070313
,,,,,,,,,,,
05-18-3,LocalHBA,256,8,64,644.1819885,1.057192101,2.349708209,0.303379777,0.162095349,2.820687713,84.66503906
,,,,,,,,,,,
05-18-3,LocalHBA,256,8,128,1283.844335,1.114298194,1.964289862,0.319724828,0.15203904,2.866035419,104.7460938
,,,,,,,,,,,
